,0
0,16.916297103629937
1,13.108207913509332
2,9.744396418424945
3,6.886108257666084
4,4.421694963364534
5,2.880998865423784
6,1.885545853129668
7,1.3335667194366678
8,2.301673465518725
9,1.2377565864783433
10,2.1335488654044386
11,1.1036021385403094
12,1.6183824385324503
13,0.7425357932664447
14,7.298348255573427
15,2.9818027940086975
16,0.8241797145428823
17,4.426593704386665
18,0.9049517682898263
19,3.9524859959194214
20,1.0717419937375818
21,3.273358414935404
22,0.7722217234733888
23,4.366576123333198
24,0.6952796082821473
25,4.744290107495138
26,0.7842948945964325
27,1.007785642413666
28,2.986379374964132
29,0.7601784456553664
30,5.000848505719682
31,0.9912274697102681
32,14.574301351095484
33,2321.1510235217183
34,2316.2628724772635
35,2311.3782518095013
36,2306.658042729502
37,2302.001597710259
38,2297.3477824142233
39,2292.752900320297
40,2288.3294205443663
41,2283.9074601952207
42,2279.4872353729534
43,2275.0687460784948
44,2270.6519923127844
45,2266.236974076764
46,2261.8236913713818
47,2257.4121441975926
48,2253.0023325563566
49,2248.594256448638
50,2244.18791587541
51,2239.78331083765
52,2235.380441336341
53,2230.979307372472
54,2226.5799089470393
55,2222.1822460610447
56,2217.7863187154944
57,2213.3921269114035
58,2208.999670649792
59,2204.6089499316854
60,2200.219964758116
61,2195.832715130124
62,2191.4472010487534
63,2187.063422515057
64,2182.681379530092
65,2178.3323866758856
66,2174.204769238428
67,2170.075915162458
68,2165.94825230279
69,2161.821780660511
70,2157.6965002367147
71,2153.5724110325023
72,2149.4495130489813
73,2145.3278062872655
74,2141.2072907484767
75,2137.0879664337435
76,2132.9698333442016
77,2128.8528914809935
78,2124.737140845269
79,2120.6225814381855
80,2116.509213260906
81,2112.397036314604
82,2108.2860506004577
83,2104.1762561196533
84,2100.0676528733857
85,2095.960240862856
86,2091.8540200892735
87,2087.748990553856
88,2083.6451522578272
89,2079.54250520242
90,2075.4410493888754
91,2071.340784818441
92,2067.241711492374
93,2063.1438294119375
94,2059.0471385784062
95,2054.9515279843495
96,2050.8572193038185
97,2046.7639905200483
98,2042.6720639935766
99,2038.5812170190225
100,2034.4916726476772
