,0
0,0.0015034391929775724
1,0.0024787521766663585
2,0.0030275547453758153
3,0.003345965457471272
4,0.006737946999085467
5,0.007446583070924338
6,0.016572675401761255
7,0.024723526470339388
8,0.03337326996032608
9,0.036883167401240015
10,0.22313016014842982
11,0.2465969639416065
12,0.5488116360940265
13,0.6065306597126334
14,0.6703200460356393
15,1.3498588075760032
16,1.4918246976412703
17,1.8221188003905089
18,2.0137527074704766
19,2.45960311115695
20,3.0041660239464334
21,3.3201169227365472
22,11.023176380641601
23,29.96410004739701
24,36.59823444367799
25,49.40244910553017
26,109.94717245212352
27,134.28977968493552
28,200.33680997479166
29,330.2995599096486
30,492.7490410932563
31,812.4058251675433
32,992.2747156050262
