,0
0,15.405190216605803
1,11.572403744712553
2,9.336983768771331
3,7.9950367935187305
4,10.872549523674422
5,77.151052130435
6,73.19504047192083
7,69.61657493973183
8,65.96538194321687
9,62.658412625549815
10,59.59021238873541
11,56.56360199098128
12,53.62620561428303
13,50.81191944931871
14,48.198929464353355
15,45.50568362824985
16,42.91004515232805
17,40.282184218980724
18,38.00791490745149
19,35.89126312864986
20,33.77790739515454
21,31.939948533913707
22,30.310033510192707
23,28.677966964142655
24,27.06252775020815
25,28.97004736649137
26,27.320104054161103
27,29.34663298607954
28,27.703135045669008
29,29.730614983376213
30,28.090315934358724
31,30.11636033798126
32,32.1328742253383
33,30.318534702606712
34,32.31328168218903
35,30.647147854685485
36,32.63466373176636
37,30.95930412017227
38,32.936024668332585
39,34.92263131140014
40,33.22031495654065
41,35.19224196381477
42,33.47998355055738
43,35.42222863638466
44,33.68084889366757
45,35.59724106326615
46,37.5177301573777
47,35.71701296322961
48,37.602129119797695
49,35.74753277641567
50,37.58575473952915
51,35.659533772275026
52,37.43490909635036
53,39.17904929286257
54,37.129266124967955
55,38.77883227898559
56,36.58759456419283
57,38.10511463073031
58,35.71844871865778
59,37.275395331331524
60,34.555488809063334
61,36.03358981534428
62,32.95237038837166
63,34.43257710543598
64,30.89657547126103
65,32.45944621631294
66,28.368255222096593
67,29.60610382398349
68,24.47045512205019
69,24.490453904458157
70,17.55876306753555
71,15.404053262968041
72,5.324636949885345
73,-7.326919232439323
74,7.987073763384387
75,-4.001022180261344
76,10.546340047172535
77,-0.8267874161735733
78,13.006963827703402
79,2.203099897565437
80,-4.768086575164617
81,4.904690045333908
82,-1.4605243546284186
83,7.4974654612213385
84,1.6926915661467206
85,-13.29735000469455
86,4.844249758152813
87,-9.357131400558018
88,7.8636766300306675
89,-5.6067582335040385
90,10.757204073812801
91,-2.036503701761788
92,13.530730368177657
93,1.3627984559029471
94,-7.248607934647794
95,4.3839217944677955
96,-3.551324214574123
97,7.275439717470547
98,-0.03453274112557381
99,10.043587468564766
100,3.311116733719288
